relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
8642,-1.2066776752471924,0.45250412821769714,9.667786598205566,1005.046875,279.57898263662787,47.266939898489525
8663,-1.1037269830703735,0.3495534360408783,9.691728591918945,,278.17291989408903,
8681,-0.9074024558067322,0.3663128614425659,9.651026725769043,,277.9737242571348,
8701,,0.3878606855869293,,,,
8702,-0.8595184087753296,,9.543288230895996,,278.3494734539447,46.84013553276585
8721,-0.7709329724311829,0.4836287498474121,9.548076629638672,,279.6473528302197,
8741,-0.871489405632019,0.40701428055763245,9.576807022094727,,278.4883107092036,
8764,-0.9361328482627869,0.3974374830722809,9.677363395690918,,278.3887470416723,47.49919763394098
8782,-1.0103530883789062,0.38546648621559143,9.691728591918945,,279.4582112317237,
8801,-1.01753568649292,0.43095630407333374,9.531316757202148,,280.63955392037997,
8822,,0.5219359993934631,,1005.05517578125,,
8823,-1.0223240852355957,,,,282.4619713343444,47.324786952903985
8841,-1.0223240852355957,0.4908113479614258,9.564835548400879,,283.3047825269781,
8863,-1.015141487121582,0.4908113479614258,9.641449928283691,,283.14747644020355,
8882,-1.1180921792984009,0.4908113479614258,9.57201862335205,,283.7941314300637,47.14221050546752
8902,-1.048660397529602,0.5027823448181152,9.536105155944824,,282.21342075044765,
8922,-0.9433154463768005,0.5315127968788147,9.526528358459473,,282.32773762658616,
8943,-0.9217676520347595,0.42856210470199585,9.670180320739746,,279.98747576031883,46.996546317455085
8963,-0.9050082564353943,0.40462008118629456,9.749189376831055,,278.5611410163234,
8982,-1.0797849893569946,0.42616790533065796,9.476250648498535,,279.91210462282777,
9003,,0.4836287498474121,9.454702377319336,1005.067138671875,281.2848087214602,46.73121927620615
9004,-1.113303780555725,,,,,
9022,-1.0965443849563599,0.4572925269603729,9.569623947143555,,278.94098149644617,
9042,-1.0007762908935547,0.44771572947502136,9.569623947143555,,278.4412165548763,
9065,-1.072602391242981,0.4908113479614258,9.583989143371582,,279.515311613185,47.375878327259684
9083,-1.2330138683319092,0.524330198764801,9.47146224975586,,283.2526681836109,
9102,-1.2234370708465576,0.5171475410461426,9.411606788635254,,283.15872576176656,
9124,-1.158793568611145,0.5171475410461426,9.454702377319336,,282.75053999658826,47.375878327259684
9146,,0.48602294921875,9.521739959716797,,,
9147,-1.1300631761550903,,,,281.84580630893925,
9163,-1.0893617868423462,0.47405192255973816,9.6989107131958,,281.1537305610985,
9185,-1.1444283723831177,0.4189853072166443,9.782708168029785,1005.073974609375,280.13685199746703,47.446494689062455
9204,-1.194706678390503,0.4141969084739685,9.651026725769043,,281.60427715950925,
9225,,0.4189853072166443,9.612719535827637,,281.6117562166504,
9226,-1.161187767982483,,,,,
9245,-1.0821791887283325,0.4213795065879822,9.550470352172852,,281.4087629945176,47.46409579586057
9266,-0.9864110946655273,0.4429273009300232,9.550470352172852,,282.79432150916807,
9286,-1.039083480834961,0.4381389021873474,9.560047149658203,,282.92426585812757,
9306,,0.44771572947502136,,,,
9307,-1.0271124839782715,,9.500192642211914,,283.13072881635867,46.856617802153764
9329,,0.45010992884635925,9.524134635925293,,,
9330,-1.0295066833496094,,,,281.17200814731746,
9346,,0.4644751250743866,,,,
9347,-1.0821791887283325,,9.62947940826416,,281.508852586615,
9367,,0.42856210470199585,,1005.066650390625,,
9368,-1.0414776802062988,,9.730035781860352,,280.5588962164713,46.850127290825576
9386,-1.0773907899856567,0.45010992884635925,9.63187313079834,,281.49093017023284,
9406,-1.0295066833496094,0.48602294921875,9.528923034667969,,282.12328957416014,
9429,,0.4357447028160095,9.5624418258667,,,
9430,-1.0031704902648926,,,,281.01339066422224,46.85634914041348
9447,-1.036689281463623,0.44532153010368347,9.66299819946289,,280.0601558032769,
9466,-0.9959878921508789,0.4189853072166443,9.660603523254395,,279.41790628543146,
9487,-1.1109095811843872,0.4118026793003082,9.44991397857666,,279.9424443231209,46.662914384339096
9506,-0.9888052940368652,0.4405331015586853,9.344569206237793,,280.9856805867595,
9532,-0.7781155705451965,0.395043283700943,9.342175483703613,,279.2875931062568,
9549,-0.6560112833976746,0.38067805767059326,9.366117477416992,1005.053955078125,278.60467664209307,47.06467227577022
9567,-0.5841852426528931,0.3878606855869293,9.667786598205566,,277.5994025698614,
9586,-0.5817909836769104,0.4118026793003082,9.63187313079834,,278.03236826134855,
9607,-0.7086837291717529,0.42616790533065796,9.512163162231445,,278.7526458602722,47.69803497604675
9629,,0.40222588181495667,,,,
9630,-0.9361328482627869,,9.57201862335205,,278.0651463391754,
9647,-1.1085153818130493,0.33758243918418884,9.763554573059082,,277.03970271832475,
9667,-1.2066776752471924,0.3495534360408783,9.883264541625977,,277.43198780311525,48.05527902623905
9686,-1.292868971824646,0.30885201692581177,9.909601211547852,,275.4044666385645,
9706,-1.3910311460494995,0.3471592366695404,9.674968719482422,,276.78081805821375,
9729,,,,1005.059814453125,,
9730,-1.3503297567367554,0.33758243918418884,9.677363395690918,,276.4406882979254,48.06928751302212
9750,-1.3407529592514038,0.3471592366695404,9.679757118225098,,275.3759847497255,
9766,-1.359906554222107,0.31603461503982544,9.746794700622559,,274.63355684732346,
9786,,0.31364041566848755,9.75637149810791,,274.5112144989102,
9787,-1.3287819623947144,,,,,47.69301821523572
9806,-1.2497732639312744,0.3256114423274994,9.720458984375,,273.7964898437817,
9828,-1.2042834758758545,0.31124621629714966,9.619902610778809,,273.50561940778755,
9847,-1.0582371950149536,0.35913026332855225,9.600749015808105,,274.31393814511273,47.73304461078071
9867,-0.912190854549408,0.3974374830722809,9.488221168518066,,278.09120351085903,
9887,-0.7469909191131592,0.3423708379268646,9.639056205749512,,276.4926728676984,
9909,-0.6344634294509888,0.42377370595932007,9.430760383605957,1005.072265625,277.864536853063,47.53363494009651
9928,-0.5554547905921936,0.47644615173339844,9.48343276977539,,280.1480535077058,
9947,-0.6799532771110535,0.45489832758903503,9.66299819946289,,279.9970994968594,
9968,-0.7469909191131592,0.36152446269989014,9.5624418258667,,278.63373909701147,47.560738332869
9987,-0.849941611289978,0.38067805767059326,9.512163162231445,,279.5799320329225,
10007,-0.9864110946655273,0.3687070608139038,9.581595420837402,,279.7388227235845,
10029,,0.35434186458587646,9.512163162231445,,279.42356168206425,47.61789038309609
10030,-0.9528923034667969,,,,,
10047,-1.0055646896362305,0.35913026332855225,9.765948295593262,,280.9145031854188,
10067,-0.912190854549408,0.3208230137825012,9.77791976928711,,279.8397114478148,
10088,,,,1005.076416015625,,
10089,-0.9026140570640564,0.2944868206977844,9.916783332824707,,279.1987460055333,47.28662307975957
10107,-0.9864110946655273,0.21787235140800476,10.395624160766602,,274.72632447663057,
10130,-1.1085153818130493,0.1364694982767105,10.36449909210205,,273.3955099281778,
10149,-0.9720458984375,0.21787235140800476,10.134655952453613,,274.8451902587563,47.24347602219798
10169,,0.4213795065879822,10.395624160766602,,277.18200970968195,
10170,-0.7398083209991455,,,,,
10189,-0.38546648621559143,0.6607996821403503,10.333374977111816,,280.0060811956179,
